;UF_Destino;UF_origem;Origem;Destino;KM;PED;Pton;Preco;Produto;Especie;Veiculo_1;Veiculo_2;Ano;Mes;Dia
0;SP;PR;Arapongas;Itaquaquecetuba;616;0;0;;Não informado;Não informado;'Truck';'Bi-Truck';2021;2;1
1;SC;CE;Fortaleza;Balneário Camboriú;3520;0;0; 150,00 ;Não informado;Não informado;'Carreta LS Trucada Simples (3/2 Eixos)';'Carreta LS Traçada Simples (3/2 Eixos)';2021;2;1
2;RJ;RJ;Rio de Janeiro;Rio de Janeiro;Não informado;0;0; 200,00 ;Não informado;Não informado;'Utilitário';;2021;2;1
3;MG;SP;São José dos Campos;Divinópolis;537;0;0; 300,00 ;Não informado;Não informado;'Utilitário';;2021;2;1
4;PA;PA;Paragominas;Tailândia;265;0;0; 3,00 ;Não informado;Não informado;'Carreta LS Trucada Simples (3/2 Eixos)';'Carreta LS Traçada Simples (3/2 Eixos)';2021;2;1
5;SP;SP;Rio Claro;Ribeirão Preto;162;0;0; 25,00 ;Não informado;Não informado;'Toco 3/4';'Truck';2021;2;1
6;PA;PA;Belém;Belém;Não informado;0;0; 8.800,00 ;Não informado;Não informado;'Carreta Toco Simples (2/2 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
7;SP;RS;Nova Alvorada;Vinhedo;1073;0;0; 2.000,00 ;Não informado;Não informado;'Toco';'Toco 3/4';2021;2;1
8;SP;SP;Andradina;Assis;300;0;0;;Não informado;Não informado;'Truck';;2021;2;1
9;SP;SP;Andradina;São Paulo;626;0;0;;Não informado;Não informado;'Truck';;2021;2;1
10;ES;PI;Teresina;Cariacica;2119;0;1; 210,00 ;Não informado;Não informado;'Carreta LS Trucada Simples (3/2 Eixos)';'Carreta LS Traçada Simples (3/2 Eixos)';2021;2;1
11;GO;TO;Gurupi;Aparecida de Goiânia;625;0;0; 1.000,00 ;Não informado;Não informado;'Truck';'Toco 3/4';2021;2;1
12;SP;MT;Sapezal;Santos;2170;0;1; 285,00 ;Não informado;Não informado;'Carreta Toco Simples (2/2 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
13;DF;SP;Araras;Brasília;837;0;0;;Não informado;Não informado;'Truck';;2021;2;1
14;SP;SP;São Bernardo do Campo;São Paulo;21;1;0; 318,00  ;Não informado;Não informado;'VUC / HR';'Utilitário';2021;2;1
15;SP;SP;São Bernardo do Campo;São Paulo;21;1;0; 318,00  ;Não informado;Não informado;'VUC / HR';;2021;2;1
16;SP;SP;São Paulo;Bauru;327;0;0; 200,00 ;Não informado;Não informado;'Toco 3/4';;2021;2;1
17;SP;SP;São Bernardo do Campo;São Paulo;21;0;0; 318,00 ;Não informado;Não informado;'VUC / HR';'Utilitário';2021;2;1
18;SP;SP;Santos;Ubatuba;282;0;0; 500,00 ;Não informado;Não informado;'Toco';'Toco 3/4';2021;2;1
19;MG;RJ;Rio de Janeiro;Coimbra;341;0;0; 750,00 ;Não informado;Não informado;'Bi-Truck';'Truck';2021;2;1
20;MG;RJ;Rio de Janeiro;Coimbra;341;0;0; 750,00 ;Não informado;Não informado;'Bi-Truck';'Truck';2021;2;1
21;MG;MG;Patrocínio;Poços de Caldas;495;0;1; 75,00 ;Não informado;Não informado;'Carreta Direc. Vanderléia (2/3 Eixos)';'Carreta Direc. Vanderléia Trucada (3/3 Eixos)';2021;2;1
22;MG;PA;Floresta do Araguaia;Divinópolis;2035;0;0; 200,00 ;Não informado;Não informado;'Carreta Toco Simples (2/2 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
23;PR;PR;Palmas;Londrina;519;0;0;;Não informado;Não informado;'Truck';;2021;2;1
24;SP;PA;Marabá;Piracicaba;2182;0;0; 250,00 ;Não informado;Não informado;'Carreta Direc. Vanderléia (2/3 Eixos)';'Carreta Direc. Vanderléia Trucada (3/3 Eixos)';2021;2;1
25;PR;PR;Palmas;Curitiba;366;0;0;;Não informado;Não informado;'Truck';;2021;2;1
26;ES;PI;Teresina;Cariacica;2119;0;1; 200,00 ;Não informado;Não informado;'Carreta Direc. Vanderléia (2/3 Eixos)';'Carreta Direc. Vanderléia Trucada (3/3 Eixos)';2021;2;1
27;ES;SP;Guarujá;Linhares;1152;0;0; 5.800,00 ;Não informado;Não informado;'Carreta Toco Simples (2/2 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
28;PE;PB;João Pessoa;Recife;115;0;0; 2.500,00 ;Não informado;Não informado;'Bitrem Toco (2/2/2 Eixos)';'Bitrem LS Trucado (3/2/2 Eixos)';2021;2;1
29;MG;MT;Tapurah;Betim;1988;0;0; 700,00 ;Não informado;Não informado;'Toco';'Toco 3/4';2021;2;1
30;SP;SP;Avaré;Guarujá;342;0;1; 60,00 ;Não informado;Não informado;'Bitrem Toco (2/2/2 Eixos)';'Bitrem LS Trucado (3/2/2 Eixos)';2021;2;1
31;MT;MG;Prata;Primavera do Leste;934;0;0; 3.800,00 ;Não informado;Não informado;'Carreta LS Trucada Simples (3/2 Eixos)';'Carreta LS Traçada Simples (3/2 Eixos)';2021;2;1
32;RO;SP;Mauá;Vilhena;2315;0;0;;Não informado;Não informado;'Bitrem Toco (2/2/2 Eixos)';'Bitrem LS Trucado (3/2/2 Eixos)';2021;2;1
33;PE;SP;Jundiaí;Cabo de Santo Agostinho;2566;0;0; 12.000,00 ;Não informado;Não informado;'Carreta Toco Simples (2/2 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
34;PA;SP;São Paulo;Parauapebas;2438;0;0; 9.000,00 ;Não informado;Não informado;'Carreta Toco Simples (2/2 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
35;BA;SP;Jundiaí;Camaçari;1910;0;0; 9.000,00 ;Não informado;Não informado;'Carreta Toco Simples (2/2 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
36;SP;MG;Vespasiano;Narandiba;1155;0;0; 3.200,00 ;Não informado;Não informado;'Truck';;2021;2;1
37;BA;MG;Vespasiano;Salvador;1360;0;0; 4.000,00 ;Não informado;Não informado;'Truck';;2021;2;1
38;PA;MG;Belo Horizonte;Parauapebas;2196;0;0; 8.000,00 ;Não informado;Não informado;'Carreta Toco Simples (2/2 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
39;SP;SP;São Paulo;Americana;126;0;0; 200,00 ;Não informado;Não informado;'Van';'VUC / HR';2021;2;1
40;MG;SP;Poá;Ipatinga;814;0;0; 2.300,00 ;Não informado;Não informado;'Truck';;2021;2;1
41;SP;SP;Álvares Machado;Estrela d'Oeste;292;0;0; 400,00 ;Não informado;Não informado;'Truck';'Bi-Truck';2021;2;1
42;SP;RS;Cachoeirinha;São Paulo;1111;0;0; 300,00 ;Não informado;Não informado;'Truck';'Toco';2021;2;1
43;RJ;SP;São Paulo;Rio de Janeiro;445;0;0; 1.500,00 ;Não informado;Não informado;'Truck';'Toco';2021;2;1
44;RS;RS;Cachoeirinha;Passo Fundo;293;0;0; 120,00 ;Não informado;Não informado;'Toco 3/4';'VUC / HR';2021;2;1
45;SP;SP;Campinas;São José do Rio Preto;347;0;0; 600,00 ;Não informado;Não informado;'Truck';'Toco';2021;2;1
46;MG;MG;Confins;Juiz de Fora;300;1;0; 1.000,00  ;Não informado;Não informado;'Bi-Truck';'Truck';2021;2;1
47;BA;PA;Belém;Camaçari;2042;0;1; 350,00 ;Não informado;Não informado;'Carreta Direc. Vanderléia (2/3 Eixos)';'Carreta Direc. Vanderléia Trucada (3/3 Eixos)';2021;2;1
48;MG;GO;Cristalina;Caratinga;889;0;0;;Não informado;Não informado;'Carreta Toco Simples (2/2 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
49;PE;GO;Anápolis;Igarassu;2321;0;0;;Não informado;Não informado;'Carreta Toco Simples (2/2 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
50;AC;GO;Rio Verde;Acrelândia;2581;0;0;;Não informado;Não informado;'Truck';'Bi-Truck';2021;2;1
51;BA;MG;São João del Rei;Lauro de Freitas;1530;0;0; 1.450,00 ;Não informado;Não informado;'Truck';;2021;2;1
52;SP;SP;Itapevi;Guarulhos;54;0;0; 200,00 ;Não informado;Não informado;'Truck';'Bi-Truck';2021;2;1
53;GO;GO;Rio Verde;Itaberaí;322;0;0;;Não informado;Não informado;'Carreta LS Trucada Simples (3/2 Eixos)';'Carreta LS Traçada Simples (3/2 Eixos)';2021;2;1
54;MS;GO;Aparecida de Goiânia;Campo Grande;847;0;0;;Não informado;Não informado;'Carreta LS Trucada Simples (3/2 Eixos)';'Carreta LS Traçada Simples (3/2 Eixos)';2021;2;1
